Word	Conc.M	SUBTLEX
affiliate	2.5	15
affiliation	1.93	25
affirm	1.96	17
affirmable	2	0
affirmation	2.12	27
affirmative	1.93	241
affirmatively	2.17	3
affirmer	2.76	0
affix	2.44	6
affixation	2.29	0
afflict	2.14	4
afflicted	2.4300000000000002	65
afflicting	2.41	6
affliction	2.27	60
affluence	2.15	7
affluent	1.83	15
affluently	1.69	0
afford	1.83	2266
affordability	1.93	1
affordable	2.1	33
affront	1.83	30
affronted	2.04	2
afghan	4.5	29
aficionado	2.5499999999999998	11
aflame	3.77	17
afloat	3.34	85
aflutter	2.54	4
afoot	2.48	52
afore	1.82	19
aforementioned	1.93	24
afraid	2.7	12631
afro	4.5199999999999996	57
after	2.12	34812
afterbirth	4.57	5
afterburner	3.65	2
aftercare	3.15	5
aftereffect	2.5	3
afterglow	3.1	16
afterhours	3.15	0
afterlife	1.9	81
aftermarket	3.58	2
aftermath	1.97	53
aftermost	1.75	0
afternoon	3.7	4666
afternoons	2.86	101
afterparty	3.81	0
aftersale	2.71	0
afterschool	3.19	5
aftershave	4.5599999999999996	55
aftershock	3.68	12
aftertaste	2.59	11
afterthought	2.04	13
aftertime	2.19	0
aftertimes	2.2000000000000002	0
afterward	2.25	112
afterwards	2.14	714
afterword	3.04	0
afterworld	1.41	1
again	2	40428
against	1.8	10288
age	2.86	4039
aged	3.14	183
agedness	3.29	0
ageism	1.88	12
ageless	2.0299999999999998	15
agelessness	1.48	0
agency	3.87	991
agenda	2.66	373
agent	3.61	5235
aggravate	2.2599999999999998	37
aggravated	2.61	64
aggravating	1.86	24
aggravatingly	1.96	0
aggravation	1.53	59
aggravator	2.72	0
aggregate	2.14	10
aggregately	1.69	0
aggregation	2.16	2
aggregative	2.0699999999999998	0
aggregator	2.2999999999999998	0
aggression	2.68	143
aggressive	2.54	405
aggressively	2.25	35
aggressiveness	2.59	20
aggressor	3.29	29
aggrieve	1.71	0
aggrieved	2.12	10
aggrievedly	1.65	0
aghast	1.96	7
agile	2.31	20
agility	2.38	23
aging	2.88	131
agitate	2.93	22
agitated	2.57	128
agitatedly	1.89	0
agitation	2.33	25
agitator	3.28	11
aglow	2.29	24
agnostic	2	19
agnostically	1.2	0
agnosticism	1.71	0
ago	1.42	14592
agonistic	1.78	0
agonize	1.97	5
agonizing	2	36
agonizingly	1.8	0
agony	2.38	191
agoraphobia	1.92	7
agoraphobic	2.5	9
agree	2.31	3298
agreeability	1.75	0
agreeable	2.0699999999999998	81
agreeableness	2.2599999999999998	0
agreeably	2.0299999999999998	3
agreed	1.93	1832
agreeing	2.48	106
agreement	2.2200000000000002	892
agricultural	3.29	48
agriculturalist	4.07	2
agriculturally	2.4	0
agriculture	3.67	56
agriculturist	3.04	0
aground	3.22	25
ahead	3	10115
ahem	2.58	391
ahoy	2	189
aid	3.1	709
aide	3.59	103
aides	3.75	32
aidless	2.04	0
aids	3.44	54
ailing	2.81	26
ailment	2.93	26
aim	3.27	758
aiming	3	193
aimless	1.57	14
aimlessly	1.86	21
aimlessness	1.62	0
air	4.1100000000000003	7090
airbag	4.8099999999999996	20
airbase	4.29	5
airbed	4.5599999999999996	0
airboat	4.82	4
airborne	3.45	215
airbrush	4.45	9
aircraft	4.4000000000000004	482
aircraftman	3.96	0
aircraftsman	4	1
aircrew	4.04	3
airfare	3.93	12
airfield	4.7	118
airflow	3.59	7
airforce	3.81	0
airfreight	4.04	0
airhead	2.48	27
airiness	2.2400000000000002	1
airing	2.61	32
airless	3	5
airlift	3.62	14
airline	4	331
airliner	4.45	29
airmail	3.66	17
airman	4.25	30
airmanship	2.5	0
airpark	3.88	0
airplane	4.96	557
airplay	3.19	11
airport	4.87	1940
airpower	3.23	0
airproof	2.57	0
airshaft	4.43	0
airship	4.92	30
airshow	4.4400000000000004	0
airsick	3.5	16
airsickness	3.27	2
airspace	3.58	82
airspeed	3.04	24
airstream	3.93	8
airstrike	3.59	7
airstrip	4.68	57
airtight	3.42	57
airtime	2.5	13
airwave	3.11	1
airway	4.34	83
airworthiness	2.0699999999999998	0
airy	2.04	16
aisle	4.3499999999999996	379
ajar	3.27	23
akin	1.71	14
alabaster	3.81	34
alarm	4.47	1522
alarmclock	4.97	0
alarmed	3.14	151
alarming	2.0699999999999998	58
alarmingly	2.14	8
alarmist	2.62	17
alas	1.56	195
albacore	3.71	8
albatross	4.8099999999999996	40
albeit	1.46	38
albino	4.41	59
album	4.6900000000000004	522
alchemic	2.73	0
alchemically	2.08	1
alchemist	4.2300000000000004	14
alchemy	2.1	11
alcohol	4.76	845
alcoholic	3.37	316
alcoholically	2.4	0
alcoholism	2.93	43
alcove	4.08	24
alderwoman	3.92	0
ale	4.6500000000000004	202
alehouse	4.4000000000000004	1
alert	2.59	1051
alertly	2.0699999999999998	2
alertness	2.15	4
alfalfa	4.6900000000000004	33
algae	4.93	22
algebra	3.14	90
algebraic	2.62	3
algebraically	2.29	0
algorithm	3.07	27
alias	2.86	208
alibi	2.57	426
alien	3.52	889
alienability	1.84	0
alienable	1.82	0
alienate	1.83	29
alienation	1.73	22
alienator	2.08	0
aliens	3.86	491
alight	2.96	21
align	2.79	34
alignment	3.26	67
alike	2.38	579
alikeness	2.23	0
alimony	3.08	132
alive	3.14	7878
aliveness	2.36	0
alkaline	3.48	16
alkalinity	2.84	0
alkalinize	2.4	1
alkalization	2.36	0
alkalize	2.85	1
alkaloid	3.38	8
all	2.27	263255
allegation	1.79	27
allege	1.76	11
allegeable	1.92	0
alleged	1.82	203
allegedly	1.64	113
allegiance	1.77	159
allegoric	1.72	0
allegorical	1.52	8
allegorically	1.37	0
allegorist	2.2999999999999998	0
allegory	2.0699999999999998	12
allergen	3.93	3
allergenic	2.4300000000000002	0
allergic	2.5499999999999998	413
allergist	4	2
allergy	3.68	86
alleviate	2.48	23
alleviation	2.15	0
alleviative	2.04	0
alleviator	2.69	0
alley	4.82	831
alleyway	4.3	40
alliance	2.5	465
allied	2.38	147
allies	3.48	260
alligator	4.96	178
alliterate	2.44	0
alliteration	2.25	9
allocable	1.79	0
allocate	2.38	8
allocation	2.3199999999999998	10
allocator	2.78	0
allotment	2.88	19
allow	2.41	2263
allowable	2.17	5
allowableness	1.75	0
allowably	1.92	0
allowance	3.07	265
alloy	4.29	52
allspice	4.54	3
allude	1.81	10
allure	1.92	30
allurer	2.23	0
alluring	2.0699999999999998	21
alluringly	1.86	0
allusion	1.58	6
allusively	1.7	0
allusiveness	1.85	0
ally	2.61	1666
almanac	4.4400000000000004	43
almightily	1.82	0
almightiness	1.34	2
almighty	1.9	446
almond	4.71	56
almost	1.66	9857
aloe	4.83	15
aloft	2.64	37
aloha	2.59	149
alone	2.86	15735
aloneness	1.75	1
along	2.14	9330
alongside	2.82	192
aloof	1.46	33
aloofly	1.82	0
aloofness	2.17	0
aloud	3.1	94
alpaca	4.8099999999999996	10
alpha	1.81	414
alphabet	4.3099999999999996	127
alphabetic	3.04	0
alphabetical	3.07	44
alphabetically	3.74	30
alphabetization	2.31	0
alphabetize	3.13	5
alphanumeric	2.96	5
alphanumerical	3.32	0
alpine	3.7	65
already	1.64	16246
alright	1.93	4044
also	1.83	10528
altar	4.8499999999999996	259
altarpiece	4.54	2
alter	3.07	244
alterability	1.88	0
alterable	2.27	0
alteration	3.21	36
altercation	3.21	37
alternate	2.4300000000000002	180
alternately	2.0299999999999998	4
alternating	2.48	21
alternation	3	2
alternative	2.46	476
alternatively	1.92	5
alternativeness	1.85	0
alternator	4.2699999999999996	18
although	1.07	2143
altitude	2.96	198
alto	3.37	69
altogether	2.36	327
altruism	1.5	11
altruistic	1.96	18
altruistically	1.45	1
alum	3.96	7
aluminize	2.52	0
aluminum	4.88	115
alumni	3.19	89
always	1.71	33418
alzheimer	2.5299999999999998	85
am	1.96	56438
amaretto	4.5999999999999996	22
amass	2.2799999999999998	3
amateur	2.31	334
amateurish	1.93	19
amateurishly	1.88	0
amateurishness	1.8	0
amateurism	1.67	1
amaze	2	82
amazed	1.52	261
amazedly	1.44	0
amazedness	1.62	0
amazement	1.89	36
amazing	1.55	4167
amazingly	1.58	91
ambassador	4.28	689
ambassadorial	1.77	2
ambassadorship	2.68	3
amber	4.3499999999999996	473
ambiance	2.31	8
ambidexterity	3.23	0
ambidexterous	3.31	0
ambidextrous	3.63	12
ambidextrously	3.14	0
ambidextrousness	2.93	0
ambience	1.72	37
ambient	2.04	26
ambiguity	1.3	14
ambiguous	1.48	37
ambiguously	1.56	0
ambiguousness	1.54	0
ambition	1.74	273
ambitionless	2.04	0
ambitious	1.81	243
ambitiously	1.78	1
ambitiousness	1.78	0
ambivalence	1.7	12
ambivalent	1.21	12
amble	3.17	5
ambling	2.44	1
ambulance	4.8099999999999996	1143
ambulatory	2.92	12
ambush	3.16	277
ambusher	2.96	0
amen	1.78	1325
amenable	1.86	9
amend	2.3199999999999998	38
amendable	1.85	0
